userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2687,0.7867037057876587) (261,0.6922585368156433) (1125,0.6110833287239075) (1057,0.5951187014579773) (318,0.575461208820343) (708,0.5592771172523499) (2870,0.5332530736923218) (1654,0.5178988575935364) (2110,0.5073267817497253) (2124,0.4916037619113922) (920,0.4803987741470337) (2245,0.4681268334388733) (492,0.46188873052597046) (1643,0.4594762325286865) (2132,0.45333197712898254) (1290,0.4490864872932434) (2141,0.44360020756721497) (915,0.44146668910980225) (2083,0.4350317716598511) (2762,0.43454471230506897)*
2: (921,0.42277267575263977) (1914,0.4050896465778351) (1459,0.40015116333961487) (1183,0.3971092104911804) (969,0.3960302174091339) (2110,0.3958725333213806) (2132,0.39020127058029175) (915,0.3895103931427002) (1186,0.3854430019855499) (492,0.3817451000213623) (1125,0.3809393644332886) (527,0.3756498098373413) (527,0.3756498098373413) (2871,0.37523552775382996) (1094,0.3723066449165344) (1619,0.3650607764720917) (150,0.363512247800827) (2762,0.3592599332332611) (1674,0.35822010040283203) (1610,0.3574681282043457)*
3: (2409,0.4444546401500702) (2804,0.44232359528541565) (2804,0.44232359528541565) (318,0.4191492795944214) (2403,0.40267908573150635) (3444,0.3986688554286957) (1307,0.3970920741558075) (2687,0.39592108130455017) (1387,0.39064639806747437) (2000,0.3903777599334717) (1858,0.38310325145721436) (1220,0.378052294254303) (153,0.37470757961273193) (1036,0.37323611974716187) (1918,0.37120363116264343) (2002,0.3689221143722534) (648,0.3645038604736328) (2406,0.36380597949028015) (1291,0.3620733320713043)* (1101,0.3592754602432251)
4: (2571,0.5346132516860962) (1242,0.5246123671531677) (1196,0.5139005780220032) (527,0.5037845373153687) (527,0.5037845373153687) (2948,0.5000026822090149) (1287,0.49789026379585266) (1287,0.49789026379585266) (858,0.4955531656742096) (110,0.4944383502006531) (1221,0.49123528599739075) (541,0.48981088399887085) (2762,0.48918965458869934) (589,0.47704270482063293) (2944,0.47429198026657104) (2858,0.4695165753364563) (1019,0.46915754675865173) (2871,0.4668358862400055) (1206,0.45621389150619507) (969,0.45592406392097473)
5: (2858,0.5859780311584473)* (45,0.5542324185371399) (3127,0.5481310486793518) (319,0.5480683445930481) (1563,0.5446449518203735) (3281,0.5309068560600281) (503,0.5305540561676025) (2305,0.5298622846603394) (373,0.5285658836364746) (3571,0.5213894248008728) (1502,0.519893229007721) (2128,0.5195168256759644) (2579,0.5192055702209473) (1057,0.5173925161361694) (3858,0.5142817497253418) (617,0.5116913318634033) (846,0.5102553367614746) (3556,0.508873701095581) (2165,0.5071680545806885) (347,0.5066495537757874)
6: (2297,0.5173898935317993) (276,0.5060657858848572) (289,0.49506980180740356) (2432,0.4933410882949829) (261,0.4809393882751465) (3784,0.4686821699142456) (3299,0.4654165804386139) (708,0.46216797828674316) (2687,0.45669442415237427) (2506,0.4489477574825287) (2485,0.4460110366344452) (2996,0.44389912486076355) (2629,0.44270485639572144) (3824,0.4417562484741211) (1593,0.4394572973251343) (7,0.43827351927757263) (3466,0.437180757522583) (2497,0.4352906346321106) (1409,0.43332362174987793) (3157,0.4307406544685364)
7: (648,0.5208972692489624)* (2028,0.5153545141220093)* (1387,0.4969803988933563) (2628,0.4923015236854553) (1291,0.48371630907058716) (1356,0.4775763154029846) (1036,0.4765405058860779) (2571,0.4727935492992401)* (2353,0.4643748104572296)* (260,0.4586316645145416) (3879,0.4539768099784851) (2858,0.45078402757644653) (3578,0.4421418011188507) (1909,0.4374648928642273) (3452,0.4359338581562042) (3623,0.433676540851593) (318,0.43144142627716064) (2115,0.42913174629211426) (527,0.42912423610687256) (527,0.42912423610687256)
8: (2197,0.648838460445404) (1668,0.6471116542816162) (999,0.6451301574707031) (764,0.6322084665298462) (1633,0.6261643767356873) (2165,0.6191480159759521) (1671,0.6185575723648071) (1870,0.6180094480514526) (877,0.6144024729728699) (1057,0.6137370467185974) (1480,0.6129351258277893) (2522,0.6012827754020691) (1563,0.6004153490066528) (851,0.6000161170959473) (1476,0.5961620807647705) (3050,0.590363621711731) (3425,0.5870997905731201) (475,0.5769551396369934) (1574,0.575690507888794) (1475,0.5727882385253906)
9: (1476,0.590394139289856) (1057,0.5367405414581299) (3578,0.5122945308685303) (858,0.5058974623680115) (2396,0.47959190607070923) (1673,0.4789765179157257) (2692,0.4730904698371887)* (260,0.47030261158943176) (372,0.4676222801208496) (45,0.46675851941108704) (648,0.4659726619720459) (492,0.46420061588287354) (1563,0.4602344334125519) (764,0.45059123635292053) (2542,0.4492623507976532) (1633,0.44883474707603455) (3100,0.4434143602848053) (1089,0.43811342120170593)* (2294,0.4371737241744995)* (2294,0.4371737241744995)*
10: (2687,0.6107093095779419) (2124,0.5777946710586548) (1125,0.5427663922309875)* (708,0.525081217288971) (261,0.5055568814277649) (2110,0.48263078927993774) (2297,0.4789578914642334) (1848,0.4662731885910034) (1654,0.463594913482666)* (2141,0.4603511691093445) (1057,0.45864802598953247) (107,0.4582259953022003) (2870,0.45734408497810364) (276,0.4269104301929474) (492,0.4149404764175415) (1713,0.4058607220649719) (2083,0.40407198667526245) (2429,0.3835126459598541) (1440,0.380969375371933) (2245,0.3805319368839264)
11: (1476,0.8472697734832764) (1057,0.7253196835517883) (3556,0.7223342061042786) (45,0.7222259044647217) (372,0.7203054428100586) (1870,0.7199400067329407) (851,0.7151238322257996) (492,0.6656514406204224) (2317,0.6616793274879456) (999,0.6556410193443298) (3050,0.6539539098739624) (3858,0.6512413024902344) (877,0.6511328220367432) (1648,0.646735429763794) (1120,0.6424452066421509) (2337,0.6370539665222168) (2894,0.633921205997467) (187,0.6320143938064575) (3127,0.6255044937133789) (2128,0.6219058036804199)
12: (858,0.628633975982666)* (2858,0.6056158542633057) (1217,0.5773151516914368) (1617,0.5404200553894043) (1203,0.535718560218811) (1247,0.516485869884491) (527,0.5159605145454407) (527,0.5159605145454407) (2687,0.5136711597442627) (908,0.5100958347320557) (318,0.49664291739463806) (1387,0.49625617265701294) (1234,0.49553772807121277) (1104,0.4947153627872467) (1287,0.4934025704860687) (1287,0.4934025704860687) (1219,0.49285510182380676) (1304,0.4870717227458954) (260,0.48564133048057556) (921,0.474244087934494)
